country_name,year,access_to_clean_fuels_and_technologies_for_cooking_(%_of_population),access_to_electricity_(%_of_population),account_ownership_at_a_financial_institution_or_with_a_mobile-money-service_provider_(%_of_population_ages_15+),adequacy_of_social_insurance_programs_(%_of_total_welfare_of_beneficiary_households),adequacy_of_social_protection_and_labor_programs_(%_of_total_welfare_of_beneficiary_households),adequacy_of_unemployment_benefits_and_almp_(%_of_total_welfare_of_beneficiary_households),adjusted_net_national_income_(annual_%_growth),adolescents_out_of_school_(%_of_lower_secondary_school_age),"average_working_hours_of_children,_study_and_work,_ages_7-14_(hours_per_week)",bank_capital_to_assets_ratio_(%),children_out_of_school_(%_of_primary_school_age),compensation_of_employees_(%_of_expense),"cost_to_export,_border_compliance_(us$)","cost_to_import,_border_compliance_(us$)",coverage_of_social_protection_and_labor_programs_(%_of_population),"educational_attainment,_at_least_completed_upper_secondary,_population_25+,_total_(%)_(cumulative)","employment_to_population_ratio,_15+,_total_(%)_(national_estimate)",expense_(%_of_gdp),gdp_growth_(annual_%),"part_time_employment,_total_(%_of_total_employment)",people_using_at_least_basic_drinking_water_services_(%_of_population),prevalence_of_current_tobacco_use_(%_of_adults),progression_to_secondary_school_(%),"school_enrollment,_primary_(%_gross)",secure_internet_servers,"taxes_on_income,_profits_and_capital_gains_(%_of_total_taxes)",unemployment_with_advanced_education_(%_of_total_labor_force_with_advanced_education),"unemployment,_total_(%_of_total_labor_force)_(national_estimate)","wage_and_salaried_workers,_total_(%_of_total_employment)_(modeled_ilo_estimate)"
Latvia,2015,100,100,..,..,..,..,4.26054933674654,1.85964000225067,..,9.03147287308198,2.03865003585815,23.0517923810102,150,0,..,88.2900009155273,54.135,31.8474682452896,3.88526005426763,20.01,98.5289621895309,38.5,98.89527,99.3933181762695,2596,17.5411330291621,4.945,9.873,87.3894881499013
Latvia,2016,100,100,..,..,..,..,5.74634458328921,1.72745001316071,..,8.49258521521282,1.73730003833771,24.6321937764968,150,0,..,88.7300033569336,54.592,30.727110694131,2.36861474664423,19.06,98.5813642330942,..,98.9753,99.1985473632812,5758,18.5028355893338,4.288,9.643,87.122246734601
Latvia,2017,100,100,93.22,..,..,..,4.51602834549089,1.29531002044678,..,9.72233088632771,1.5161999464035,25.508274317743,150,0,..,87.9997253417969,55.53,30.4163550392486,3.31247593587459,18.27,98.6337529130144,..,..,99.3678436279297,23206,18.7296898212637,4.078,8.715,87.8556978068523
Latvia,2018,100,100,..,..,..,..,4.63445945739893,0.978330016136169,..,11.0621409236515,1.1314400434494,25.4144658141509,150,0,..,90.3000030517578,56.887,30.7830661450033,3.99051924069269,16.54,98.6860670993294,37.2,..,99.614387512207,27952,13.9186631654987,3.723,7.412,88.4833082309079
Latvia,2019,100,100,..,..,..,..,1.68193592325412,1.74196004867554,..,8.50213272939958,1.17625999450684,25.4636108275608,150,0,..,90.9300003051758,57.363,31.960603227786,0.587502383494098,18.7,98.7382545669579,37.2,..,99.9834365844727,38004,9.56057044754484,4.233,6.312,88.4153163309959
Latvia,2020,100,100,..,..,..,..,-1.66394414050156,1.66895997524261,..,9.25494408594655,1.3022700548172,23.7739193960286,..,..,..,90.1376037597656,56.68,36.2635166015169,-3.51380284197906,21.06,98.7902639963924,37,..,99.8328475952148,38634,12.5351651649314,3.791,8.098,87.3188030248565
Latvia,2021,100,100,96.62,..,..,..,5.2047342692952,1.32161998748779,..,8.96661774433405,1.27524995803833,21.9417088175797,..,..,..,88.1561660766602,55.664,40.1245804819825,6.73173527824665,22.32,98.8420437979057,..,..,99.7407684326172,42538,14.7683532088024,4.482,7.513,87.0098688135266
Latvia,2022,100,100,..,..,..,..,..,1.3436199426651,..,9.43251709763605,1.4437700510025,22.9414576870332,..,..,..,88.7702789306641,56.973,35.6353628829914,2.95473177143623,18.56,98.8935273885372,..,..,99.41796875,41856,15.5246481500245,3.736,6.815,86.6008300937649
Lithuania,2012,100,100,..,..,..,..,3.09292228242313,0.148259997367859,..,11.1210067595453,..,21.934516282382,..,..,..,81.5500030517578,50.014,22.7509365937544,3.84386474906337,21.06,95.18639409975,..,99.30393,101.85440826416,1344,30.6952859016476,5.641,13.365,88.9463617387146
Lithuania,2013,100,100,..,..,..,..,4.42654061679664,0.0124099999666214,..,11.6346593720184,0.137899994850159,22.1211515760085,..,..,..,82.3099975585938,51.173,22.6587928192324,3.55007284270488,21.61,95.6610147705921,..,99.26737,101.754577636719,1882,31.582499084439,5.11,11.77,88.2273639565267
Lithuania,2014,100,100,77.91,..,..,..,5.40564937977568,5.42633008956909,..,11.2608745499325,0.49702000617981,23.147504516955,58,0,..,83.3300018310547,52.624,21.7361346070949,3.53700987901611,22.08,96.1335981896812,..,99.51795,100.977882385254,2208,31.5055393102877,4.198,10.698,87.8959606820372
Lithuania,2015,100,100,..,..,..,..,0.597210204404391,4.89234018325806,..,9.89325622703281,0.34909999370575,22.5075404871537,58,0,..,84.3099975585938,53.762,22.5617044297847,2.02458395469182,21,96.6041391284408,34,99.7004,101.542343139648,3443,32.2925643479604,3.676,9.12,87.7293393994969
Lithuania,2016,100,100,..,..,..,..,3.80447807975114,4.72700977325439,..,7.74932763930901,0.192770004272461,23.4187343933472,58,0,..,86.2200012207031,55.587,21.9419960914235,2.51882827307178,19.6,97.0737449088059,..,99.21346,104.223098754883,12556,33.0326098098995,2.906,7.862,87.6656729645893
Lithuania,2017,100,100,82.88,..,..,..,5.01689400044891,4.14998006820679,..,8.25494542625541,0.141169995069504,24.1844108933798,58,0,..,87.3099975585938,56.315,20.5675061843756,4.28259695120761,23.83,97.5420664494059,..,..,106.410949707031,36934,32.1505319367316,2.903,7.073,88.0724984187405
Lithuania,2018,100,100,..,..,..,..,3.73697708940325,2.14716005325317,..,8.05900717149571,0.374949991703033,17.4468635034135,58,0,..,88.5540771484375,57.765,29.2508291620918,3.99331032795327,22.78,97.9905320928671,32.3,..,106.05738067627,51176,33.2274981009219,2.803,6.147,88.3338463443542
Lithuania,2019,100,100,..,..,..,..,4.6252488445855,0.263619989156723,..,6.41309834562661,0.584789991378784,21.3103101265799,58,0,..,89.6794509887695,58.204,24.8465721225609,4.6656783812234,22.44,98.0014728864191,32.3,..,104.706062316895,87889,43.8711221822683,2.904,6.255,88.3429795135764
Lithuania,2020,100,100,..,..,..,..,0.733191441291027,0.397069990634918,..,5.89539260995003,0.513300001621246,18.7246504654912,..,..,..,89.870002746582,57.3,30.9190179441564,-0.0246124952916773,27.5,98.0133504964109,32,..,103.468246459961,131718,43.1160720172586,4.087,8.487,88.2402482983682
Lithuania,2021,100,100,93.53,..,..,..,1.6744574471316,0.441460013389587,..,5.48365716205432,0.54355001449585,19.0884425258463,..,..,..,91.1113204956055,57.86,27.6319866740576,6.28471003860921,22.86,98.0259726580572,..,..,101.152992248535,150863,45.2020653119785,4.044,7.112,88.3727529352801
