country_name,year,happiness_index,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect
Republic of Cyprus,2018,6.276443004608154,10.59894847869873,0.825573205947876,72.19999694824219,0.7942150235176086,-0.03055599331855774,0.8483372330665588,0.6629883050918579,0.298021137714386
Republic of Cyprus,2019,6.1368327140808105,10.639202117919922,0.7760780453681946,72.4000015258789,0.7400580048561096,-0.017519664019346237,0.8652942180633545,0.6634199619293213,0.29022520780563354
Republic of Cyprus,2020,6.259810447692871,10.583157539367676,0.8055593967437744,72.5999984741211,0.7627823352813721,-0.08616578578948975,0.8162317276000977,0.6708356738090515,0.28352245688438416
Republic of Cyprus,2021,6.26920223236084,10.638118743896484,0.8553572297096252,72.80000305175781,0.7176392674446106,-0.03822578862309456,0.8764560222625732,0.641120970249176,0.2746836245059967
Czech Republic,2012,6.334149360656738,10.42490005493164,0.912426769733429,67.94000244140625,0.7398087382316589,-0.15964005887508392,0.9567996859550476,0.6349714994430542,0.25650814175605774
Czech Republic,2013,6.69765567779541,10.42410945892334,0.8880433440208435,68.05999755859375,0.7259456515312195,-0.1619187593460083,0.915898859500885,0.6562649011611938,0.2526526153087616
Czech Republic,2014,6.483729839324951,10.445425033569336,0.8779152035713196,68.18000030517578,0.8004209995269775,-0.17383690178394318,0.8968806862831116,0.6377720832824707,0.23522056639194489
Czech Republic,2015,6.608017444610596,10.495941162109375,0.9113625884056091,68.30000305175781,0.8084841966629028,-0.15181764960289001,0.886467456817627,0.6893541216850281,0.20608052611351013
Czech Republic,2016,6.735627174377441,10.51907730102539,0.9305928945541382,68.42500305175781,0.850328266620636,-0.2035031020641327,0.9004307389259338,0.7102274894714355,0.20104163885116577
Czech Republic,2017,6.789567947387695,10.566816329956055,0.9009689688682556,68.55000305175781,0.8317855000495911,-0.18311892449855804,0.8665249943733215,0.6722728610038757,0.22664979100227356
Czech Republic,2018,7.034165382385254,10.595166206359863,0.929163932800293,68.67500305175781,0.7901324033737183,-0.29871830344200134,0.8513822555541992,0.6744130849838257,0.1780681014060974
Czech Republic,2020,6.897091388702393,10.562043190002441,0.9640536904335022,68.92500305175781,0.9064220190048218,-0.135277658700943,0.8836995959281921,0.7483424544334412,0.29044169187545776
Czech Republic,2021,6.9424967765808105,10.615072250366211,0.9502267837524414,69.05000305175781,0.8905214667320251,0.15726430714130402,0.8625741004943848,0.7161665558815002,0.23984862864017487
Denmark,2012,7.519909381866455,10.843812942504883,0.9514371752738953,69.83999633789062,0.9326279163360596,0.13286656141281128,0.18740761280059814,0.7827155590057373,0.2085695117712021
Denmark,2013,7.588606834411621,10.848934173583984,0.9647079706192017,70.05999755859375,0.920254647731781,0.20889675617218018,0.17004217207431793,0.8256011605262756,0.1946737915277481
Denmark,2014,7.507559299468994,10.859928131103516,0.9563443064689636,70.27999877929688,0.9415722489356995,0.11213824152946472,0.23721833527088165,0.7798677682876587,0.23261277377605438
Denmark,2015,7.514424800872803,10.876019477844238,0.9597012996673584,70.5,0.9414364099502563,0.21617953479290009,0.19101639091968536,0.8014328479766846,0.21757757663726807
Denmark,2016,7.5577826499938965,10.90015983581543,0.9544515013694763,70.625,0.9482305645942688,0.1318957358598709,0.2098933756351471,0.7860076427459717,0.20758342742919922
Denmark,2017,7.59370231628418,10.921552658081055,0.9521000981330872,70.75,0.9554163217544556,0.14896969497203827,0.18114756047725677,0.778525173664093,0.20577530562877655
Denmark,2018,7.648785591125488,10.936294555664062,0.9582188725471497,70.875,0.935437798500061,0.011810150928795338,0.15060743689537048,0.7730328440666199,0.20605280995368958
